subject,ave,sd,block,triplet,position,shape_num,RT,RT_trimmed,log_RT_trimmed,change?,block>12,block>18,block>6,"1-avg(2,3)","log_1-avg(2,3)",odd_even
1,463.3090278,298.4766328,1,1,1,1,1121,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,1,2,2,886,886,6.786716951,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,1,3,3,837,837,6.72982407,0,FALSE,FALSE,FALSE,198.7622934,0.208001093,o
1,463.3090278,298.4766328,1,7,1,19,843,843,6.736966958,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,7,2,20,1264,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,7,3,21,1062,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,-217.2622934,-0.229304645,e
1,463.3090278,298.4766328,1,8,1,22,997,997,6.90475077,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,8,2,23,1093,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,8,3,24,1598,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,-63.2622934,-0.061520833,o
1,463.3090278,298.4766328,1,2,1,4,717,717,6.575075841,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,2,2,5,716,716,6.573680167,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,2,3,6,685,685,6.529418838,0,FALSE,FALSE,FALSE,16.5,0.023526338,e
1,463.3090278,298.4766328,1,4,1,10,1496,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,4,2,11,582,582,6.366470448,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,4,3,12,558,558,6.324358962,0,FALSE,FALSE,FALSE,490.2622934,0.620856898,o
1,463.3090278,298.4766328,1,3,1,7,624,624,6.436150368,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,3,2,8,686,686,6.530877628,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,3,3,9,963,963,6.870053412,0,FALSE,FALSE,FALSE,-200.5,-0.264315151,e
1,463.3090278,298.4766328,1,6,1,16,772,772,6.64898455,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,6,2,17,782,782,6.661854741,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,1,6,3,18,809,809,6.695798917,0,FALSE,FALSE,FALSE,-23.5,-0.029842279,o
1,463.3090278,298.4766328,1,5,1,13,1029,1029,6.936342736,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,5,2,14,771,771,6.647688374,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,1,5,3,15,875,875,6.774223886,0,FALSE,FALSE,FALSE,206,0.225386606,e
1,463.3090278,298.4766328,2,7,1,19,1530,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,7,2,20,1124,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,7,3,21,898,898,6.800170068,0,FALSE,FALSE,FALSE,81.1311467,0.083050767,o
1,463.3090278,298.4766328,2,3,1,7,680,680,6.522092798,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,3,2,8,706,706,6.559615237,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,3,3,9,800,800,6.684611728,0,FALSE,FALSE,FALSE,-73,-0.100020684,e
1,463.3090278,298.4766328,2,5,1,13,738,738,6.603943825,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,5,2,14,774,774,6.651571874,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,5,3,15,707,707,6.561030666,0,FALSE,FALSE,FALSE,-2.5,-0.002357445,o
1,463.3090278,298.4766328,2,1,1,1,769,769,6.64509097,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,1,2,2,1438,1060.262293,6.966271603,1,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,1,3,3,873,873,6.771935556,0,FALSE,FALSE,FALSE,-197.6311467,-0.22401261,e
1,463.3090278,298.4766328,2,2,1,4,744,744,6.612041035,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,2,2,5,780,780,6.65929392,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,2,3,6,776,776,6.65415252,0,FALSE,FALSE,FALSE,-34,-0.044682185,o
1,463.3090278,298.4766328,2,6,1,16,898,898,6.800170068,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,6,2,17,742,742,6.609349243,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,6,3,18,903,903,6.805722553,0,FALSE,FALSE,FALSE,75.5,0.09263417,e
1,463.3090278,298.4766328,2,8,1,22,842,842,6.735780014,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,8,2,23,739,739,6.605297921,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,2,8,3,24,587,587,6.37502482,0,FALSE,FALSE,FALSE,179,0.245618644,o
1,463.3090278,298.4766328,2,4,1,10,270,270,5.598421959,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,4,2,11,243,243,5.493061443,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,2,4,3,12,243,243,5.493061443,0,FALSE,FALSE,FALSE,27,0.105360516,e
1,463.3090278,298.4766328,3,7,1,19,212,212,5.356586275,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,7,2,20,208,208,5.33753808,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,7,3,21,186,186,5.225746674,0,FALSE,FALSE,FALSE,15,0.074943898,o
1,463.3090278,298.4766328,3,4,1,10,177,177,5.176149733,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,4,2,11,182,182,5.204006687,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,4,3,12,218,218,5.384495063,0,FALSE,FALSE,FALSE,-23,-0.118101142,e
1,463.3090278,298.4766328,3,3,1,7,204,204,5.318119994,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,3,2,8,213,213,5.361292166,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,3,3,9,178,178,5.18178355,0,FALSE,FALSE,FALSE,8.5,0.046582136,o
1,463.3090278,298.4766328,3,5,1,13,213,213,5.361292166,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,5,2,14,178,178,5.18178355,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,5,3,15,214,214,5.365976015,0,FALSE,FALSE,FALSE,17,0.087412383,e
1,463.3090278,298.4766328,3,1,1,1,209,209,5.342334252,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,1,2,2,249,249,5.517452896,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,1,3,3,716,716,6.573680167,0,FALSE,FALSE,FALSE,-273.5,-0.70323228,o
1,463.3090278,298.4766328,3,2,1,4,590,590,6.380122537,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,2,2,5,710,710,6.56526497,0,FALSE,FALSE,FALSE,,,e
1,463.3090278,298.4766328,3,2,3,6,615,615,6.421622268,0,FALSE,FALSE,FALSE,-72.5,-0.113321082,e
1,463.3090278,298.4766328,3,6,1,16,551,551,6.311734809,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,6,2,17,492,492,6.198478716,0,FALSE,FALSE,FALSE,,,o
1,463.3090278,298.4766328,3,6,3,18,467,467,6.146329258,0,FALSE,FALSE,FALSE,71.5,0.139330822,o
1,463.3090278,298.4766328,3,8,1,22,456,456,6.12249281,0,FALSE,FALSE,FALSE,,,e
